participant,participant_age,Image_ID,Image_actual_age,Image_age,Image_emotion,age_resp,age_resp_rt
708,20,Y_72F,25,young,neutral,37,4.0921
708,20,O_38F,65,old,happy,56,4.6268
708,20,Y_6F,23,young,neutral,20,2.4945
708,20,Y_58M,22,young,neutral,18,8.5254
708,20,O_47F,60,old,neutral,45,3.0781
708,20,O_64M,65,old,neutral,50,2.2285
708,20,Y_75M,30,young,neutral,37,4.5277
708,20,Y_57M,23,young,neutral,33,2.2091
708,20,O_42M,75,old,happy,70,3.5907
708,20,O_48F,65,old,neutral,62,6.5482
708,20,Y_46M,18,young,happy,39,4.0597
708,20,Y_1M,19,young,angry,35,3.4103
708,20,Y_38F,24,young,angry,25,6.044
708,20,Y_15M,20,young,angry,37,4.1929
708,20,Y_14F,21,young,angry,30,5.5944
708,20,Y_30M,25,young,happy,33,5.1442
708,20,O_29F,63,old,angry,50,4.8603
708,20,O_08M,65,old,angry,50,3.3146
708,20,O_34F,65,old,happy,50,1.9997
708,20,Y_17F,33,young,angry,26,3.6107
708,20,Y_48F,23,young,happy,27,3.3603
708,20,Y_69F,28,young,neutral,19,4.7994
708,20,O_10F,60,old,angry,40,3.2814
708,20,O_40F,61,old,happy,63,4.6599
708,20,Y_12F,18,young,angry,26,4.7836
708,20,O_71M,65,old,neutral,66,4.5264
708,20,Y_71F,20,young,neutral,33,3.9765
708,20,O_50M,65,old,happy,50,6.0087
708,20,O_56F,65,old,neutral,51,5.2268
708,20,Y_54M,26,young,happy,37,8.3923
708,20,O_15M,69,old,angry,50,3.7424
708,20,O_58M,64,old,happy,48,3.839
708,20,Y_11M,20,young,angry,20,3.1232
708,20,O_43F,62,old,happy,63,5.3755
708,20,O_53F,64,old,neutral,50,6.4768
708,20,Y_27M,23,young,angry,33,3.1332
709,19,Y_6F,23,young,neutral,22,8.723645
709,19,Y_12F,18,young,angry,26,5.36487
709,19,O_42M,75,old,happy,75,5.04825
709,19,O_71M,65,old,neutral,70,7.614805
709,19,Y_15M,20,young,angry,29,6.195475
709,19,O_34F,65,old,happy,45,4.63044
709,19,Y_11M,20,young,angry,25,3.717585
709,19,Y_72F,25,young,neutral,26,4.499155
709,19,O_15M,69,old,angry,50,5.29646
709,19,Y_58M,22,young,neutral,29,4.71339
709,19,O_29F,63,old,angry,47,3.948135
709,19,O_08M,65,old,angry,56,2.331975
709,19,Y_27M,23,young,angry,30,4.58083
709,19,Y_46M,18,young,happy,28,3.777135
709,19,Y_1M,19,young,angry,25,3.56669
709,19,Y_48F,23,young,happy,26,5.64847
709,19,O_58M,64,old,happy,50,5.280535
709,19,Y_54M,26,young,happy,28,5.93126
709,19,O_53F,64,old,neutral,40,4.497195
709,19,O_48F,65,old,neutral,60,4.93095
709,19,Y_57M,23,young,neutral,26,2.751605
709,19,O_28F,64,old,angry,55,5.063845
709,19,Y_4F,19,young,happy,19,8.85807
709,19,Y_66F,26,young,happy,22,3.100535
709,19,Y_40F,28,young,happy,27,3.63443
709,19,O_56F,65,old,neutral,50,4.000345
709,19,Y_30M,25,young,happy,28,2.90218
709,19,O_17M,69,old,angry,55,5.245695
709,19,Y_17F,33,young,angry,30,4.315525
709,19,O_43F,62,old,happy,60,4.634115
709,19,Y_28M,20,young,happy,25,2.883345
709,19,O_50M,65,old,happy,50,2.067485
709,19,O_23F,66,old,angry,60,4.115555
709,19,O_40F,61,old,happy,55,4.09897
709,19,O_21M,65,old,happy,55,2.31611
709,19,Y_38F,24,young,angry,25,3.74814
709,19,O_65M,65,old,neutral,56,6.43114
709,19,O_38F,65,old,happy,50,2.55273
709,19,Y_69F,28,young,neutral,22,3.4973
709,19,O_20M,65,old,angry,60,3.132015
709,19,Y_14F,21,young,angry,27,2.6165
709,19,O_47F,60,old,neutral,60,3.964955
709,19,Y_71F,20,young,neutral,29,5.08098
709,19,O_10F,60,old,angry,40,6.07741
709,19,O_64M,65,old,neutral,55,3.5958
709,19,Y_75M,30,young,neutral,30,3.117505
709,19,O_67M,61,old,neutral,55,3.63291
709,19,Y_55M,24,young,neutral,26,2.81579
710,21,Y_6F,23,young,neutral,25,5.7363
710,21,O_29F,63,old,angry,65,2.7077
710,21,Y_11M,20,young,angry,32,1.8592
710,21,O_47F,60,old,neutral,64,3.2667
710,21,O_20M,65,old,angry,59,4.6587
710,21,O_10F,60,old,angry,54,2.9306
710,21,Y_30M,25,young,happy,43,1.9292
710,21,O_17M,69,old,angry,54,2.4951
710,21,Y_17F,33,young,angry,37,2.1438
710,21,Y_28M,20,young,happy,34,2.1671
710,21,O_56F,65,old,neutral,59,4.2476
710,21,O_58M,64,old,happy,64,1.8693
710,21,O_08M,65,old,angry,59,2.7442
710,21,O_15M,69,old,angry,65,2.7985
710,21,O_53F,64,old,neutral,58,2.2172
710,21,O_64M,65,old,neutral,54,2.817
710,21,Y_14F,21,young,angry,32,2.0996
710,21,Y_75M,30,young,neutral,43,3.5344
710,21,O_34F,65,old,happy,58,5.1781
710,21,O_28F,64,old,angry,67,2.5483
710,21,Y_58M,22,young,neutral,26,2.6253
710,21,O_67M,61,old,neutral,69,2.9919
710,21,Y_4F,19,young,happy,17,2.7184
710,21,Y_57M,23,young,neutral,29,3.4025
710,21,Y_15M,20,young,angry,36,4.5018
710,21,Y_12F,18,young,angry,28,7.8093
710,21,O_38F,65,old,happy,65,9.0853
710,21,Y_40F,28,young,happy,28,8.1963
710,21,Y_38F,24,young,angry,19,2.4627
710,21,O_50M,65,old,happy,70,3.2263
710,21,O_42M,75,old,happy,74,2.6928
710,21,O_71M,65,old,neutral,75,3.6164
710,21,Y_1M,19,young,angry,24,4.9702
710,21,O_40F,61,old,happy,65,1.775
710,21,Y_46M,18,young,happy,33,2.5543
710,21,O_23F,66,old,angry,67,2.4058
710,21,Y_48F,23,young,happy,56,3.0556
710,21,Y_71F,20,young,neutral,36,3.2245
710,21,O_43F,62,old,happy,57,5.9687
710,21,Y_69F,28,young,neutral,23,5.1979
710,21,O_48F,65,old,neutral,68,2.7507
710,21,Y_72F,25,young,neutral,32,16.6848
710,21,O_21M,65,old,happy,67,2.3375
710,21,O_65M,65,old,neutral,70,2.111
710,21,Y_54M,26,young,happy,37,2.1678
710,21,Y_27M,23,young,angry,39,2.6459
710,21,Y_55M,24,young,neutral,30,4.6492
710,21,Y_66F,26,young,happy,34,2.687
711,21,Y_54M,26,young,happy,28,5.5032
711,21,Y_55M,24,young,neutral,26,10.2266
711,21,Y_30M,25,young,happy,35,6.5385
711,21,O_42M,75,old,happy,67,7.3249
711,21,Y_46M,18,young,happy,32,6.4217
711,21,Y_72F,25,young,neutral,28,8.4074
711,21,O_34F,65,old,happy,53,6.3049
711,21,Y_6F,23,young,neutral,22,6.5554
711,21,Y_14F,21,young,angry,22,6.989
711,21,O_29F,63,old,angry,63,9.309
711,21,Y_15M,20,young,angry,36,5.9074
711,21,O_08M,65,old,angry,54,6.1221
711,21,Y_69F,28,young,neutral,25,6.1408
